Site,Location,Leaf,Mesh,Replicate,k,Gammarus,cased_caddis,caseless_caddis,large_bodied,Xt,,,,,,,
1,Downstream,Alder,Fine,R1,0.000730711,,,,,4.363,,,,,,,
1,Downstream,Alder,Fine,R2,0.000860958,,,,,4.297,,,,,,,
1,Downstream,Alder,Fine,R3,0.001146808,,,,,4.096,,,,,,,
1,Downstream,Alder,Fine,R4,0.001034217,,,,,4.222,,,,,,,
2,Downstream,Alder,Fine,R1,0.001712997,,,,,3.81,,,,,,,
2,Downstream,Alder,Fine,R2,0.001004384,,,,,4.259,,,,,,,
2,Downstream,Alder,Fine,R3,0.001081662,,,,,4.296,,,,,,,
2,Downstream,Alder,Fine,R4,0.001024868,,,,,4.27,,,,,,,
3,Downstream,Alder,Fine,R1,0.002586737,,,,,3.399,,,,,,,
3,Downstream,Alder,Fine,R2,0.001481395,,,,,3.98,,,,,,,
3,Downstream,Alder,Fine,R3,0.001791171,,,,,3.839,,,,,,,
3,Downstream,Alder,Fine,R4,0.001885076,,,,,3.75,,,,,,,
4,Downstream,Alder,Fine,R1,0.001734514,,,,,3.825,,,,,,,
4,Downstream,Alder,Fine,R2,0.001991021,,,,,3.716,,,,,,,
4,Downstream,Alder,Fine,R3,0.002010012,,,,,3.707,,,,,,,
4,Downstream,Alder,Fine,R4,0.001671766,,,,,3.825,,,,,,,
5,Downstream,Alder,Fine,R1,0.000768,,,,,4.47,,,,,,,
5,Downstream,Alder,Fine,R2,0.000829544,,,,,4.331,,,,,,,
5,Downstream,Alder,Fine,R3,0.000899053,,,,,4.385,,,,,,,
5,Downstream,Alder,Fine,R4,0.001712102,,,,,3.859,,,,,,,
6,Enclosure,Alder,Fine,R1,0.00071563,,,,,4.468,,,,,,,
6,Enclosure,Alder,Fine,R2,0.00084373,,,,,4.445,,,,,,,
6,Enclosure,Alder,Fine,R3,0.000482459,,,,,4.691,,,,,,,
6,Enclosure,Alder,Fine,R4,0.001055462,,,,,4.354,,,,,,,
7,Enclosure,Alder,Fine,R1,0.002372078,,,,,3.645,,,,,,,
7,Enclosure,Alder,Fine,R2,0.002009064,,,,,3.743,,,,,,,
7,Enclosure,Alder,Fine,R3,0.002094046,,,,,3.748,,,,,,,
7,Enclosure,Alder,Fine,R4,0.002294781,,,,,3.604,,,,,,,
8,Enclosure,Alder,Fine,R1,0.000479186,,,,,4.724,,,,,,,
8,Enclosure,Alder,Fine,R2,0.000165615,,,,,4.825,,,,,,,
8,Enclosure,Alder,Fine,R3,0.000478501,,,,,4.731,,,,,,,
8,Enclosure,Alder,Fine,R4,0.000357945,,,,,4.713,,,,,,,
9,Enclosure,Alder,Fine,R1,0.000201122,,,,,4.763,,,,,,,
9,Enclosure,Alder,Fine,R2,-1.35E-05,,,,,4.945,,,,,,,
9,Enclosure,Alder,Fine,R3,0.000486888,,,,,4.642,,,,,,,
9,Enclosure,Alder,Fine,R4,0.000166525,,,,,4.938,,,,,,,
10,Enclosure,Alder,Fine,R1,0.001348722,,,,,4,,,,,,,
10,Enclosure,Alder,Fine,R2,0.001619075,,,,,3.922,,,,,,,
10,Enclosure,Alder,Fine,R3,0.002022516,,,,,3.666,,,,,,,
10,Enclosure,Alder,Fine,R4,0.001733558,,,,,3.738,,,,,,,
11,Control,Alder,Fine,R1,0.001927232,,,,,3.686,,,,,,,
11,Control,Alder,Fine,R2,0.001446736,,,,,4.024,,,,,,,
11,Control,Alder,Fine,R3,0.00231284,,,,,3.549,,,,,,,
11,Control,Alder,Fine,R4,0.002910008,,,,,3.248,,,,,,,
12,Control,Alder,Fine,R1,0.001984541,,,,,3.723,,,,,,,
12,Control,Alder,Fine,R2,0.001368156,,,,,4.061,,,,,,,
12,Control,Alder,Fine,R3,0.001295903,,,,,4.119,,,,,,,
12,Control,Alder,Fine,R4,0.001286484,,,,,4.19,,,,,,,
13,Control,Alder,Fine,R1,0.001739921,,,,,3.91,,,,,,,
13,Control,Alder,Fine,R2,0.000785036,,,,,4.515,,,,,,,
13,Control,Alder,Fine,R3,0.00099033,,,,,4.302,,,,,,,
13,Control,Alder,Fine,R4,0.000812037,,,,,4.442,,,,,,,
14,Control,Alder,Fine,R1,0.001959945,,,,,3.69,,,,,,,
14,Control,Alder,Fine,R2,0.00201302,,,,,3.723,,,,,,,
14,Control,Alder,Fine,R3,0.002000968,,,,,3.673,,,,,,,
14,Control,Alder,Fine,R4,0.002135675,,,,,3.606,,,,,,,
15,Control,Alder,Fine,R1,0.003526613,,,,,2.922,,,,,,,
15,Control,Alder,Fine,R2,0.002852315,,,,,3.257,,,,,,,
15,Control,Alder,Fine,R3,0.003671129,,,,,2.843,,,,,,,
15,Control,Alder,Fine,R4,0.002926543,,,,,3.206,,,,,,,
1,Downstream,Alder,Coarse,R1,0.003345917,10,2,1,13,2.848,,,,,,,
1,Downstream,Alder,Coarse,R2,0.002238839,4,2,1,7,3.425,,,,,,,
1,Downstream,Alder,Coarse,R3,0.005207599,6,0,0,6,2.067,,,,,,,
1,Downstream,Alder,Coarse,R4,0.003932444,24,0,0,24,2.532,,,,,,,
2,Downstream,Alder,Coarse,R1,0.017633122,0,1,0,1,0.36,,,,,,,
2,Downstream,Alder,Coarse,R2,0.022282952,0,0,0,0,0.179,,,,,,,
2,Downstream,Alder,Coarse,R3,0.014810746,0,0,0,0,0.547,,,,,,,
2,Downstream,Alder,Coarse,R4,0.02096184,0,0,0,0,0.219,,,,,,,
3,Downstream,Alder,Coarse,R1,0.021079994,1,0,1,2,0.226,,,,,,,
3,Downstream,Alder,Coarse,R2,0.024382055,0,0,0,0,0.139,,,,,,,
3,Downstream,Alder,Coarse,R3,0.022334051,0,0,0,0,0.188,,,,,,,
3,Downstream,Alder,Coarse,R4,0.023072195,5,0,0,5,0.168,,,,,,,
4,Downstream,Alder,Coarse,R1,0.017749364,1,0,0,1,0.36,,,,,,,
4,Downstream,Alder,Coarse,R2,0.016228507,7,0,0,7,0.448,,,,,,,
4,Downstream,Alder,Coarse,R3,0.015587999,19,0,0,19,0.492,,,,,,,
4,Downstream,Alder,Coarse,R4,0.007456801,0,0,0,0,1.645,,,,,,,
5,Downstream,Alder,Coarse,R1,0.008218271,17,4,0,21,1.463,,,,,,,
5,Downstream,Alder,Coarse,R2,0.011933112,10,0,0,10,0.848,,,,,,,
5,Downstream,Alder,Coarse,R3,0.009463223,9,0,0,9,1.214,,,,,,,
5,Downstream,Alder,Coarse,R4,0.011645335,7,0,0,7,0.876,,,,,,,
6,Enclosure,Alder,Coarse,R1,0.022346818,0,0,0,0,0.239,,,,,,,
6,Enclosure,Alder,Coarse,R2,0.020482446,0,0,0,0,0.305,,,,,,,
6,Enclosure,Alder,Coarse,R3,0.020310222,1,0,0,1,0.313,,,,,,,
6,Enclosure,Alder,Coarse,R4,0.007698452,9,0,0,9,1.77,,,,,,,
7,Enclosure,Alder,Coarse,R1,0.00311047,0,0,0,0,3.289,,,,,,,
7,Enclosure,Alder,Coarse,R2,0.003240323,0,0,0,0,3.15,,,,,,,
7,Enclosure,Alder,Coarse,R3,0.004173342,0,0,0,0,2.854,,,,,,,
7,Enclosure,Alder,Coarse,R4,0.002945987,0,0,0,0,3.298,,,,,,,
8,Enclosure,Alder,Coarse,R1,0.003573218,0,0,0,0,2.94,,,,,,,
8,Enclosure,Alder,Coarse,R2,0.005722516,0,0,0,0,2.128,,,,,,,
8,Enclosure,Alder,Coarse,R3,0.005016464,0,0,0,0,2.343,,,,,,,
8,Enclosure,Alder,Coarse,R4,0.012687803,1,1,0,2,0.771,,,,,,,
9,Enclosure,Alder,Coarse,R1,0.020772533,0,1,0,1,0.223,,,,,,,
9,Enclosure,Alder,Coarse,R2,0.005407893,2,2,0,4,2.206,,,,,,,
9,Enclosure,Alder,Coarse,R3,0.007599281,0,0,0,0,1.57,,,,,,,
9,Enclosure,Alder,Coarse,R4,0.002659632,12,0,0,12,3.344,,,,,,,
10,Enclosure,Alder,Coarse,R1,0.00570374,0,0,0,0,2.009,,,,,,,
10,Enclosure,Alder,Coarse,R2,0.003553238,0,1,0,1,2.826,,,,,,,
10,Enclosure,Alder,Coarse,R3,0.004738602,0,2,0,2,2.378,,,,,,,
10,Enclosure,Alder,Coarse,R4,0.005250918,0,2,1,3,2.175,,,,,,,
11,Control,Alder,Coarse,R1,0.016092007,0,0,0,0,0.449,,,,,,,
11,Control,Alder,Coarse,R2,0.01285799,0,0,0,0,0.736,,,,,,,
11,Control,Alder,Coarse,R3,0.012415662,0,0,0,0,0.783,,,,,,,
11,Control,Alder,Coarse,R4,0.010431435,0,0,0,0,1.061,,,,,,,
12,Control,Alder,Coarse,R1,0.01259888,0,0,0,0,0.77,,,,,,,
12,Control,Alder,Coarse,R2,0.014634242,1,0,0,1,0.561,,,,,,,
12,Control,Alder,Coarse,R3,0.021699876,3,0,0,3,0.197,,,,,,,
12,Control,Alder,Coarse,R4,0.02189165,4,0,0,4,0.189,,,,,,,
13,Control,Alder,Coarse,R1,0.006444014,6,0,0,6,1.895,,,,,,,
13,Control,Alder,Coarse,R2,0.003209615,4,1,0,5,3.11,,,,,,,
13,Control,Alder,Coarse,R3,0.004107417,0,0,0,0,2.703,,,,,,,
13,Control,Alder,Coarse,R4,0.003245811,0,0,0,0,3.081,,,,,,,
14,Control,Alder,Coarse,R1,0.002053848,7,0,0,7,3.629,,,,,,,
14,Control,Alder,Coarse,R2,0.002419031,12,0,0,12,3.472,,,,,,,
14,Control,Alder,Coarse,R3,0.002143813,9,0,0,9,3.617,,,,,,,
14,Control,Alder,Coarse,R4,0.002605185,4,0,0,4,3.417,,,,,,,
15,Control,Alder,Coarse,R1,0.026813548,0,0,0,0,0.089,,,,,,,
15,Control,Alder,Coarse,R2,0.025530179,2,0,0,2,0.106,,,,,,,
15,Control,Alder,Coarse,R3,0.018407863,0,0,0,0,0.316,,,,,,,
15,Control,Alder,Coarse,R4,0.020877279,2,0,1,3,0.214,,,,,,,
1,Downstream,Oak,Fine,R1,0.001083302,,,,,4.172,,,,,,,
1,Downstream,Oak,Fine,R2,0.00092778,,,,,4.328,,,,,,,
1,Downstream,Oak,Fine,R3,0.000796762,,,,,4.31,,,,,,,
1,Downstream,Oak,Fine,R4,0.000603591,,,,,4.58,,,,,,,
2,Downstream,Oak,Fine,R1,0.001139892,,,,,4.166,,,,,,,
2,Downstream,Oak,Fine,R2,0.00052458,,,,,4.609,,,,,,,
2,Downstream,Oak,Fine,R3,0.000160301,,,,,4.824,,,,,,,
2,Downstream,Oak,Fine,R4,0.000424078,,,,,4.66,,,,,,,
3,Downstream,Oak,Fine,R1,0.001016901,,,,,4.287,,,,,,,
3,Downstream,Oak,Fine,R2,0.001297713,,,,,4.136,,,,,,,
3,Downstream,Oak,Fine,R3,0.000916998,,,,,4.374,,,,,,,
3,Downstream,Oak,Fine,R4,0.000944306,,,,,4.353,,,,,,,
4,Downstream,Oak,Fine,R1,0.001017843,,,,,4.239,,,,,,,
4,Downstream,Oak,Fine,R2,0.001141879,,,,,4.175,,,,,,,
4,Downstream,Oak,Fine,R3,0.000835307,,,,,4.444,,,,,,,
4,Downstream,Oak,Fine,R4,0.001387237,,,,,4.136,,,,,,,
5,Downstream,Oak,Fine,R1,0.000813785,,,,,4.397,,,,,,,
5,Downstream,Oak,Fine,R2,0.001212914,,,,,4.239,,,,,,,
5,Downstream,Oak,Fine,R3,0.001269048,,,,,4.101,,,,,,,
5,Downstream,Oak,Fine,R4,0.001143167,,,,,4.2,,,,,,,
6,Enclosure,Oak,Fine,R1,0.001318324,,,,,4.255,,,,,,,
6,Enclosure,Oak,Fine,R2,0.001284512,,,,,4.205,,,,,,,
6,Enclosure,Oak,Fine,R3,0.001318095,,,,,4.139,,,,,,,
6,Enclosure,Oak,Fine,R4,0.0010747,,,,,4.302,,,,,,,
7,Enclosure,Oak,Fine,R1,0.001553031,,,,,3.971,,,,,,,
7,Enclosure,Oak,Fine,R2,0.001808769,,,,,3.855,,,,,,,
7,Enclosure,Oak,Fine,R3,0.001803137,,,,,3.858,,,,,,,
7,Enclosure,Oak,Fine,R4,0.001790422,,,,,3.864,,,,,,,
8,Enclosure,Oak,Fine,R1,0.000616613,,,,,4.5,,,,,,,
8,Enclosure,Oak,Fine,R2,0.000975822,,,,,4.289,,,,,,,
8,Enclosure,Oak,Fine,R3,0.001500011,,,,,4.053,,,,,,,
8,Enclosure,Oak,Fine,R4,0.001473409,,,,,4.02,,,,,,,
9,Enclosure,Oak,Fine,R1,0.00132466,,,,,4.118,,,,,,,
9,Enclosure,Oak,Fine,R2,0.000816515,,,,,4.348,,,,,,,
9,Enclosure,Oak,Fine,R3,0.001305552,,,,,4.069,,,,,,,
9,Enclosure,Oak,Fine,R4,0.001285106,,,,,4.051,,,,,,,
10,Enclosure,Oak,Fine,R1,0.001149195,,,,,4.111,,,,,,,
10,Enclosure,Oak,Fine,R2,0.00115877,,,,,4.094,,,,,,,
10,Enclosure,Oak,Fine,R3,0.000798249,,,,,4.419,,,,,,,
10,Enclosure,Oak,Fine,R4,0.001107258,,,,,4.186,,,,,,,
11,Control,Oak,Fine,R1,0.001303163,,,,,4.038,,,,,,,
11,Control,Oak,Fine,R2,0.001154059,,,,,4.166,,,,,,,
11,Control,Oak,Fine,R3,0.000949134,,,,,4.299,,,,,,,
11,Control,Oak,Fine,R4,0.001068666,,,,,4.257,,,,,,,
12,Control,Oak,Fine,R1,0.001240121,,,,,4.18,,,,,,,
12,Control,Oak,Fine,R2,0.00070284,,,,,4.444,,,,,,,
12,Control,Oak,Fine,R3,0.001195046,,,,,4.122,,,,,,,
12,Control,Oak,Fine,R4,0.000802026,,,,,4.369,,,,,,,
13,Control,Oak,Fine,R1,0.001085475,,,,,4.229,,,,,,,
13,Control,Oak,Fine,R2,0.000890742,,,,,4.394,,,,,,,
13,Control,Oak,Fine,R3,0.000875759,,,,,4.366,,,,,,,
13,Control,Oak,Fine,R4,0.001458584,,,,,3.983,,,,,,,
14,Control,Oak,Fine,R1,0.001157158,,,,,4.222,,,,,,,
14,Control,Oak,Fine,R2,0.001164568,,,,,4.15,,,,,,,
14,Control,Oak,Fine,R3,0.001158439,,,,,4.147,,,,,,,
14,Control,Oak,Fine,R4,0.001221439,,,,,4.153,,,,,,,
15,Control,Oak,Fine,R1,0.001799318,,,,,3.86,,,,,,,
15,Control,Oak,Fine,R2,0.001713078,,,,,3.793,,,,,,,
15,Control,Oak,Fine,R3,0.001781623,,,,,3.777,,,,,,,
15,Control,Oak,Fine,R4,0.001726637,,,,,3.867,,,,,,,
1,Downstream,Oak,Coarse,R1,0.002516123,32,1,0,33,3.263,,,,,,,
1,Downstream,Oak,Coarse,R2,0.000927463,17,0,0,17,4.224,,,,,,,
1,Downstream,Oak,Coarse,R3,0.001393282,9,0,0,9,3.914,,,,,,,
1,Downstream,Oak,Coarse,R4,0.000787521,6,3,0,9,4.448,,,,,,,
2,Downstream,Oak,Coarse,R1,0.00358817,0,0,0,0,2.878,,,,,,,
2,Downstream,Oak,Coarse,R2,0.002497589,0,0,0,0,3.378,,,,,,,
2,Downstream,Oak,Coarse,R3,0.002612109,0,0,0,0,3.366,,,,,,,
2,Downstream,Oak,Coarse,R4,0.002931754,1,0,0,1,3.247,,,,,,,
3,Downstream,Oak,Coarse,R1,0.003223376,5,0,0,5,3.073,,,,,,,
3,Downstream,Oak,Coarse,R2,0.00343348,7,0,0,7,3.017,,,,,,,
3,Downstream,Oak,Coarse,R3,0.003104706,2,0,0,2,3.205,,,,,,,
3,Downstream,Oak,Coarse,R4,0.002929256,3,0,0,3,3.251,,,,,,,
4,Downstream,Oak,Coarse,R1,0.002010134,27,0,0,27,3.701,,,,,,,
4,Downstream,Oak,Coarse,R2,0.001559127,20,0,0,20,3.984,,,,,,,
4,Downstream,Oak,Coarse,R3,0.002169009,140,0,0,140,3.595,,,,,,,
4,Downstream,Oak,Coarse,R4,0.001584655,24,0,0,24,3.882,,,,,,,
5,Downstream,Oak,Coarse,R1,0.001851672,20,0,0,20,3.752,,,,,,,
5,Downstream,Oak,Coarse,R2,0.002439911,18,0,0,18,3.443,,,,,,,
5,Downstream,Oak,Coarse,R3,0.001500202,104,1,0,105,4.016,,,,,,,
5,Downstream,Oak,Coarse,R4,0.002421717,40,0,0,40,3.467,,,,,,,
6,Enclosure,Oak,Coarse,R1,0.002254526,2,0,0,2,3.684,,,,,,,
6,Enclosure,Oak,Coarse,R2,0.002335316,2,0,0,2,3.672,,,,,,,
6,Enclosure,Oak,Coarse,R3,0.002618141,0,0,0,0,3.468,,,,,,,
6,Enclosure,Oak,Coarse,R4,0.002086304,0,0,0,0,3.774,,,,,,,
7,Enclosure,Oak,Coarse,R1,0.001491999,0,0,0,0,4.051,,,,,,,
7,Enclosure,Oak,Coarse,R2,0.001804927,0,0,0,0,3.889,,,,,,,
7,Enclosure,Oak,Coarse,R3,0.001638908,0,0,0,0,3.98,,,,,,,
7,Enclosure,Oak,Coarse,R4,0.001777329,0,0,0,0,3.853,,,,,,,
8,Enclosure,Oak,Coarse,R1,0.001462939,0,0,0,0,3.953,,,,,,,
8,Enclosure,Oak,Coarse,R2,0.001511842,0,0,0,0,3.95,,,,,,,
8,Enclosure,Oak,Coarse,R3,0.002010893,0,0,0,0,3.683,,,,,,,
8,Enclosure,Oak,Coarse,R4,0.001362078,2,0,0,2,4.042,,,,,,,
9,Enclosure,Oak,Coarse,R1,0.001664604,0,0,0,0,3.829,,,,,,,
9,Enclosure,Oak,Coarse,R2,0.001184674,0,0,0,0,4.141,,,,,,,
9,Enclosure,Oak,Coarse,R3,0.002028662,0,0,0,0,3.646,,,,,,,
9,Enclosure,Oak,Coarse,R4,0.001594952,0,1,0,1,3.933,,,,,,,
10,Enclosure,Oak,Coarse,R1,0.001362181,0,0,0,0,3.973,,,,,,,
10,Enclosure,Oak,Coarse,R2,0.00125735,1,0,0,1,4.088,,,,,,,
10,Enclosure,Oak,Coarse,R3,0.001736981,0,0,0,0,3.752,,,,,,,
10,Enclosure,Oak,Coarse,R4,0.00133258,0,0,0,0,4.002,,,,,,,
11,Control,Oak,Coarse,R1,0.002166581,0,0,0,0,3.55,,,,,,,
11,Control,Oak,Coarse,R2,0.002142457,4,0,0,4,3.618,,,,,,,
11,Control,Oak,Coarse,R3,0.001544169,3,0,0,3,3.919,,,,,,,
11,Control,Oak,Coarse,R4,0.001737124,4,1,0,5,3.803,,,,,,,
12,Control,Oak,Coarse,R1,0.002042719,2,0,0,2,3.623,,,,,,,
12,Control,Oak,Coarse,R2,0.003004439,11,0,0,11,3.162,,,,,,,
12,Control,Oak,Coarse,R3,0.002098179,4,0,0,4,3.629,,,,,,,
12,Control,Oak,Coarse,R4,0.003203822,1,0,0,1,3.07,,,,,,,
13,Control,Oak,Coarse,R1,0.002182958,1,0,0,1,3.608,,,,,,,
13,Control,Oak,Coarse,R2,0.001688217,0,0,0,0,3.877,,,,,,,
13,Control,Oak,Coarse,R3,0.001593326,0,0,0,0,3.909,,,,,,,
13,Control,Oak,Coarse,R4,0.00152219,1,0,0,1,3.96,,,,,,,
14,Control,Oak,Coarse,R1,0.001745524,3,0,0,3,3.806,,,,,,,
14,Control,Oak,Coarse,R2,0.002196711,4,0,0,4,3.615,,,,,,,
14,Control,Oak,Coarse,R3,0.001606954,2,0,1,3,3.931,,,,,,,
14,Control,Oak,Coarse,R4,0.001851299,0,0,0,0,3.85,,,,,,,
15,Control,Oak,Coarse,R1,0.003590441,3,0,0,3,2.876,,,,,,,
15,Control,Oak,Coarse,R2,0.003689846,0,0,0,0,2.87,, ,,,,,
15,Control,Oak,Coarse,R3,0.003034458,2,0,0,2,3.148,,,,,,,
15,Control,Oak,Coarse,R4,0.002469896,2,0,0,2,3.419,,,,,,,