Site,Location,Days_Exposure,Avg_temp,t_Degree_days,Type,X0,Xt_R1,Xt_R2,Xt_R3,Xt_R4,k_R1,k_R2,k_R3,k_R4,k_avg
1,Downstream,21,8.081043129,169.7019057,Rooibos,2.035948,1.571,1.559,1.572,1.564,0.001527674,0.001572858,0.001523924,0.001553989,0.001544611
2,Downstream,21,7.118844884,149.4957426,Rooibos,2.035948,1.585,1.585,1.549,1.575,0.001674811,0.001674811,0.001828494,0.001717148,0.001723816
3,Downstream,21,6.997963206,146.9572273,Rooibos,2.035948,1.536,1.54,1.574,1.61,0.001917428,0.001899731,0.001751131,0.00159725,0.001791385
4,Downstream,21,7.08394329,148.7628091,Rooibos,2.035948,1.556,1.472,1.484,1.528,0.001807193,0.002180246,0.002125668,0.001929258,0.002010591
5,Downstream,21,7.120885658,149.5385988,Rooibos,2.035948,1.599,1.527,1.575,1.528,0.001615524,0.001923627,0.001716656,0.001919249,0.001793764
6,Enclosure,21,6.493537642,136.3642905,Rooibos,2.035948,1.539,1.526,1.535,1.603,0.002052067,0.002114275,0.002071152,0.001753279,0.001997693
7,Enclosure,21,6.576810143,138.113013,Rooibos,2.035948,1.512,1.576,1.616,1.533,0.002154238,0.001854073,0.001672598,0.002054368,0.001933819
8,Enclosure,21,7.063499498,148.3334895,Rooibos,2.035948,1.541,1.596,1.512,1.544,0.001877728,0.001641309,0.002005807,0.001864617,0.001847365
9,Enclosure,21,7.148602794,150.1206587,Rooibos,2.035948,1.479,1.576,1.579,1.517,0.002128923,0.001705772,0.001693104,0.001959936,0.001871934
10,Enclosure,21,7.452236315,156.4969626,Rooibos,2.035948,1.51,1.493,1.536,1.475,0.001909634,0.001981981,0.001800546,0.002059488,0.001937912
11,Control,21,7.1149,149.4129,Rooibos,2.035948,1.568,1.514,1.518,1.547,0.001747912,0.001982469,0.001964809,0.001838154,0.001883336
12,Control,21,7.1003,149.1063,Rooibos,2.035948,1.527,1.555,1.541,1.535,0.001929204,0.001807342,0.001867996,0.00189416,0.001874676
13,Control,21,7.0564,148.1844,Rooibos,2.035948,1.582,1.571,1.524,1.602,0.001702417,0.001749504,0.001954478,0.001617638,0.001756009
14,Control,21,7.0093,147.1953,Rooibos,2.035948,1.561,1.595,1.578,1.591,0.001804643,0.001658258,0.001731056,0.001675317,0.001717319
15,Control,21,7.1693,150.5553,Rooibos,2.035948,1.412,1.433,1.379,1.461,0.002430698,0.002332641,0.002587773,0.00220411,0.002388805
1,Downstream,21,8.081043129,169.7019057,Green,1.758401,0.666,0.654,0.729,0.702,0.005721035,0.005828177,0.00518843,0.005410822,0.005537116
2,Downstream,21,7.118844884,149.4957426,Green,1.758401,0.71,0.675,0.674,0.694,0.006066361,0.006404513,0.00641443,0.006218827,0.006276033
3,Downstream,21,6.997963206,146.9572273,Green,1.758401,0.503,0.686,0.681,0.756,0.00851656,0.006405146,0.006454925,0.005743976,0.006780152
4,Downstream,21,7.08394329,148.7628091,Green,1.758401,0.659,0.687,0.686,0.642,0.006597325,0.006317613,0.006327405,0.006773009,0.006503838
5,Downstream,21,7.120885658,149.5385988,Green,1.758401,0.653,0.674,0.708,0.71,0.006624263,0.006412592,0.006083487,0.006064623,0.006296241
6,Enclosure,21,6.493537642,136.3642905,Green,1.758401,0.774,0.71,0.693,0.701,0.006017619,0.006650533,0.006828255,0.006744084,0.006560123
7,Enclosure,21,6.576810143,138.113013,Green,1.758401,0.881,0.882,0.952,0.879,0.005003891,0.004995678,0.004442703,0.005020347,0.004865655
8,Enclosure,21,7.063499498,148.3334895,Green,1.758401,0.737,0.756,0.683,0.822,0.005862279,0.005690682,0.006375265,0.00512642,0.005763661
9,Enclosure,21,7.148602794,150.1206587,Green,1.758401,0.69,0.727,0.677,0.704,0.006231445,0.005883492,0.006358145,0.00609764,0.00614268
10,Enclosure,21,7.452236315,156.4969626,Green,1.758401,0.677,0.655,0.714,0.619,0.006099089,0.006310186,0.005759071,0.006671407,0.006209938
11,Control,21,7.1149,149.4129,Green,1.758401,0.746,0.723,0.686,0.775,0.005738692,0.005948288,0.006299875,0.005483443,0.005867574
12,Control,21,7.1003,149.1063,Green,1.758401,0.745,0.66,0.689,0.741,0.005759488,0.006571958,0.006283563,0.005795594,0.006102651
13,Control,21,7.0564,148.1844,Green,1.758401,0.712,0.724,0.884,0.694,0.006101062,0.005988274,0.00464086,0.00627386,0.005751014
14,Control,21,7.0093,147.1953,Green,1.758401,0.825,0.738,0.823,0.811,0.005141311,0.005898397,0.0051578,0.005257587,0.005363774
15,Control,21,7.1693,150.5553,Green,1.758401,0.6,0.578,0.668,0.603,0.007141765,0.007389885,0.006428681,0.007108637,0.007017242